time,temperature_2m,relative_humidity_2m,precipitation,windspeed_10m,apparent_temperature
2026-05-06T00:00,18.1,64,0.0,24.5,14.9
2026-05-06T01:00,17.8,65,0.0,18.1,15.5
2026-05-06T02:00,17.7,62,0.0,15.3,15.6
2026-05-06T03:00,17.8,66,0.0,18.2,15.6
2026-05-06T04:00,17.5,69,0.0,18.1,15.4
2026-05-06T05:00,17.0,72,0.0,16.9,15.1
2026-05-06T06:00,16.5,74,0.0,17.6,14.5
2026-05-06T07:00,17.6,70,0.0,20.0,15.4
2026-05-06T08:00,19.3,65,0.0,25.1,16.4
2026-05-06T09:00,20.6,61,0.0,25.6,17.8
2026-05-06T10:00,22.4,55,0.0,26.8,19.7
2026-05-06T11:00,23.3,50,0.0,28.5,19.8
2026-05-06T12:00,24.2,48,0.0,29.6,20.8
2026-05-06T13:00,22.4,52,0.0,27.5,19.1
2026-05-06T14:00,22.2,56,0.0,28.7,18.9
2026-05-06T15:00,21.4,57,0.0,25.8,18.4
2026-05-06T16:00,21.2,58,0.0,17.9,19.4
2026-05-06T17:00,18.6,78,0.0,13.7,18.1
2026-05-06T18:00,19.7,71,0.0,15.7,18.8
2026-05-06T19:00,18.9,80,0.0,12.5,18.9
2026-05-06T20:00,17.8,92,0.0,12.3,18.3
2026-05-06T21:00,17.7,93,0.0,6.4,19.1
2026-05-06T22:00,17.6,94,0.0,7.4,18.8
2026-05-06T23:00,16.3,83,0.0,17.3,14.8
2026-05-07T00:00,14.0,81,0.0,14.3,12.2
2026-05-07T01:00,12.4,80,0.0,13.2,10.3
2026-05-07T02:00,11.9,79,0.0,15.1,9.2
2026-05-07T03:00,11.0,80,0.0,14.3,8.3
2026-05-07T04:00,10.6,79,0.0,13.7,7.9
2026-05-07T05:00,10.2,78,0.0,10.3,7.8
2026-05-07T06:00,9.4,75,0.0,14.6,6.1
2026-05-07T07:00,9.1,76,0.0,15.1,5.7
2026-05-07T08:00,9.8,73,0.0,15.0,6.4
2026-05-07T09:00,11.0,61,0.0,16.8,7.1
2026-05-07T10:00,12.4,48,0.0,17.4,8.3
2026-05-07T11:00,13.0,38,0.0,15.5,8.4
2026-05-07T12:00,16.1,28,0.0,16.8,13.1
2026-05-07T13:00,17.3,26,0.0,17.2,14.3
2026-05-07T14:00,17.1,25,0.0,19.6,12.4
2026-05-07T15:00,17.0,27,0.0,18.9,11.8
2026-05-07T16:00,17.5,28,0.0,16.3,13.5
2026-05-07T17:00,16.7,30,0.0,16.9,11.9
2026-05-07T18:00,16.7,32,0.0,13.3,12.6
2026-05-07T19:00,16.7,34,0.0,12.3,12.9
2026-05-07T20:00,15.8,38,0.0,14.7,11.7
2026-05-07T21:00,15.3,40,0.0,16.2,11.1
2026-05-07T22:00,14.7,43,0.0,17.1,10.5
2026-05-07T23:00,13.4,49,0.0,19.1,9.0
2026-05-08T00:00,12.8,49,0.0,17.5,8.6
